Store,Date,Temperature
2,8/13/2010,89.05
2,8/20/2010,88.7
2,8/27/2010,87.12
2,9/3/2010,81.83
2,9/10/2010,79.09
2,9/17/2010,82.05
2,9/24/2010,81.79
2,10/1/2010,69.24
2,10/8/2010,63.19
2,10/15/2010,65.8
2,10/22/2010,68.5
2,10/29/2010,66.24
2,11/5/2010,57.85
2,11/12/2010,59.69
2,11/19/2010,50.81
2,11/26/2010,62.98
2,12/3/2010,49.33
2,12/10/2010,45.5
2,12/17/2010,47.55
2,12/24/2010,49.97
2,12/31/2010,47.3
2,1/7/2011,44.69
2,1/14/2011,33.02
2,1/21/2011,41.4
2,1/28/2011,42.83
2,2/4/2011,38.25
2,2/11/2011,33.19
2,2/18/2011,57.83
2,2/25/2011,60.8
2,3/4/2011,57.77
2,3/11/2011,52.7
2,3/18/2011,62.32
2,3/25/2011,69.42
2,4/1/2011,55.43
2,4/8/2011,67
2,4/15/2011,69.48
2,4/22/2011,69.39
2,4/29/2011,69.21
2,5/6/2011,61.48
2,5/13/2011,74.61
2,5/20/2011,67.14
2,5/27/2011,76.42
2,6/3/2011,83.07
2,6/10/2011,83.4
2,6/17/2011,86.53
2,6/24/2011,85.17
2,7/1/2011,85.69
2,7/8/2011,87.7
2,7/15/2011,89.83
2,7/22/2011,89.34
2,7/29/2011,90.07
2,8/5/2011,93.34
2,8/12/2011,91.58
2,8/19/2011,89.86
2,8/26/2011,90.45
2,9/2/2011,89.64
2,9/9/2011,77.97
2,9/16/2011,78.85
2,9/23/2011,75.58
2,9/30/2011,78.14
2,10/7/2011,69.92
2,10/14/2011,71.67
2,10/21/2011,64.53
2,10/28/2011,65.87
2,11/4/2011,55.53
2,11/11/2011,59.33
2,11/18/2011,62.01
2,11/25/2011,56.36
2,12/2/2011,48.74
2,12/9/2011,41.76
2,12/16/2011,50.13
2,12/23/2011,46.66
2,12/30/2011,44.57
2,1/6/2012,46.75
2,1/13/2012,45.99
2,1/20/2012,51.7
2,1/27/2012,50.5
2,2/3/2012,55.21
2,2/10/2012,46.98
2,2/17/2012,43.82
2,2/24/2012,54.63
2,3/2/2012,58.79
2,3/9/2012,57.11
2,3/16/2012,63.68
2,3/23/2012,64.01
2,3/30/2012,66.83
2,4/6/2012,68.43
2,4/13/2012,68.08
2,4/20/2012,65.69
2,4/27/2012,67.2
2,5/4/2012,76.73
2,5/11/2012,73.87
2,5/18/2012,71.27
2,5/25/2012,78.19
2,6/1/2012,78.38
2,6/8/2012,78.69
2,6/15/2012,80.56
2,6/22/2012,81.04
2,6/29/2012,86.32
2,7/6/2012,84.2
2,7/13/2012,80.17
2,7/20/2012,83.23
2,7/27/2012,86.37
2,8/3/2012,90.22
2,8/10/2012,88.55
2,8/17/2012,84.79
2,8/24/2012,76.91
2,8/31/2012,82.64
2,9/7/2012,87.65
2,9/14/2012,75.88
2,9/21/2012,71.09
2,9/28/2012,79.45
2,10/5/2012,70.27
2,10/12/2012,60.97
2,10/19/2012,68.08
2,10/26/2012,69.79
2,11/2/2012,56.4
2,11/9/2012,61.9
2,11/16/2012,52.72
2,11/23/2012,58.06
2,11/30/2012,52.64
2,12/7/2012,64.19
2,12/14/2012,47.69
2,12/21/2012,55.14
2,12/28/2012,41.56
2,1/4/2013,39.12
2,1/11/2013,47.42
2,1/18/2013,40.98
2,1/25/2013,51.33
2,2/1/2013,54.75
2,2/8/2013,56.08
2,2/15/2013,48.92
2,2/22/2013,48.16
2,3/1/2013,46.08
2,3/8/2013,51.12
2,3/15/2013,55.14
2,3/22/2013,59.97
2,3/29/2013,50.54
2,4/5/2013,58.3
2,4/12/2013,61.23
2,4/19/2013,67.05
2,4/26/2013,58.13
2,5/3/2013,65.26
2,5/10/2013,63.51
2,5/17/2013,70.55
2,5/24/2013,76.83
2,5/31/2013,78.05
2,6/7/2013,76.2
2,6/14/2013,80.91
2,6/21/2013,81.11
2,6/28/2013,85.37
2,7/5/2013,79.48
2,7/12/2013,85.41
2,7/19/2013,79.16
2,7/26/2013,83.17
3,2/5/2010,45.71
3,2/12/2010,47.93
3,2/19/2010,47.07
3,2/26/2010,52.05
3,3/5/2010,53.04
3,3/12/2010,63.08
3,3/19/2010,60.42
3,3/26/2010,57.06
3,4/2/2010,65.56
3,4/9/2010,68
3,4/16/2010,66.98
3,4/23/2010,67.87
3,4/30/2010,70.24
3,5/7/2010,73.47
3,5/14/2010,77.18
3,5/21/2010,75.81
3,5/28/2010,78.6
3,6/4/2010,78.53
3,6/11/2010,82.1
3,6/18/2010,83.52
3,6/25/2010,83.79
3,7/2/2010,82.2
3,7/9/2010,81.75
3,7/16/2010,84.32
3,7/23/2010,83.32
3,7/30/2010,82.04
3,8/6/2010,85.13
3,8/13/2010,86.74
3,8/20/2010,88.02
3,8/27/2010,86.15
3,9/3/2010,84.16
3,9/10/2010,80.84
3,9/17/2010,82.36
3,9/24/2010,76.9
3,10/1/2010,73.6
3,10/8/2010,66.99
3,10/15/2010,69.71
3,10/22/2010,71.64
3,10/29/2010,72.04
3,11/5/2010,62.94
3,11/12/2010,62.79
3,11/19/2010,57.72
3,11/26/2010,68.71
3,12/3/2010,53.76
3,12/10/2010,51.13
3,12/17/2010,52.2
3,12/24/2010,57.16
3,12/31/2010,53.2
3,1/7/2011,53.35
3,1/14/2011,44.76
3,1/21/2011,50.74
3,1/28/2011,48.71
3,2/4/2011,45.95
3,2/11/2011,43.57
3,2/18/2011,61.58
3,2/25/2011,67.4
3,3/4/2011,65.11
3,3/11/2011,61.29
3,3/18/2011,69.47
3,3/25/2011,72.94
3,4/1/2011,68.76
3,4/8/2011,72.55
3,4/15/2011,75.88
3,4/22/2011,76.91
3,4/29/2011,78.69
3,5/6/2011,69.45
3,5/13/2011,79.87
3,5/20/2011,75.79
3,5/27/2011,84.41
3,6/3/2011,84.29
3,6/10/2011,84.84
3,6/17/2011,86.96
3,6/24/2011,84.94
3,7/1/2011,85.1
3,7/8/2011,85.38
3,7/15/2011,87.14
3,7/22/2011,86.19
3,7/29/2011,88.07
3,8/5/2011,88.45
3,8/12/2011,88.88
3,8/19/2011,88.44
3,8/26/2011,87.67
3,9/2/2011,89.12
3,9/9/2011,81.72
3,9/16/2011,83.63
3,9/23/2011,80.19
3,9/30/2011,82.58
3,10/7/2011,75.54
3,10/14/2011,73.75
3,10/21/2011,69.03
3,10/28/2011,71.04
3,11/4/2011,59.31
3,11/11/2011,61.7
3,11/18/2011,63.91
3,11/25/2011,68
3,12/2/2011,54.97
3,12/9/2011,49.26
3,12/16/2011,57.95
3,12/23/2011,53.41
3,12/30/2011,48.29
3,1/6/2012,52.42
3,1/13/2012,51.86
3,1/20/2012,56.2
3,1/27/2012,58.06
3,2/3/2012,59.33
3,2/10/2012,51.65
3,2/17/2012,52.39
3,2/24/2012,60.12
3,3/2/2012,61.65
3,3/9/2012,60.71
3,3/16/2012,64
3,3/23/2012,66.53
3,3/30/2012,69.36
3,4/6/2012,73.01
3,4/13/2012,72.83
3,4/20/2012,72.05
3,4/27/2012,73.39
3,5/4/2012,79.51
3,5/11/2012,75.19
3,5/18/2012,72.38
3,5/25/2012,78.58
3,6/1/2012,81.55
3,6/8/2012,81.65
3,6/15/2012,84.66
3,6/22/2012,82.7
3,6/29/2012,86.42
3,7/6/2012,83.14
3,7/13/2012,82.28
3,7/20/2012,81.38
3,7/27/2012,84.94
3,8/3/2012,86.55
3,8/10/2012,85.85
3,8/17/2012,87.36
3,8/24/2012,83.01
3,8/31/2012,85.18
3,9/7/2012,84.99
3,9/14/2012,78.36
3,9/21/2012,72.78
3,9/28/2012,77.46
3,10/5/2012,72.74
3,10/12/2012,70.31
3,10/19/2012,73.44
3,10/26/2012,74.66
3,11/2/2012,61.61
3,11/9/2012,68.72
3,11/16/2012,61.1
3,11/23/2012,61.69
3,11/30/2012,57.5
3,12/7/2012,65.09
3,12/14/2012,54.72
3,12/21/2012,59.39
3,12/28/2012,51.76
3,1/4/2013,46.52
3,1/11/2013,49.83
3,1/18/2013,49.09
3,1/25/2013,57.85
3,2/1/2013,62.81
3,2/8/2013,62.77
3,2/15/2013,57.36
3,2/22/2013,59.96
3,3/1/2013,54.19
3,3/8/2013,57.25
3,3/15/2013,61.99
3,3/22/2013,70.38
3,3/29/2013,60.69
3,4/5/2013,65.89
3,4/12/2013,67.56
3,4/19/2013,71.69
3,4/26/2013,65.23
3,5/3/2013,69.73
3,5/10/2013,68.93
3,5/17/2013,75.33
3,5/24/2013,81.27
3,5/31/2013,78.99
3,6/7/2013,80.11
3,6/14/2013,78.61
3,6/21/2013,82.81
3,6/28/2013,85.14
3,7/5/2013,81.59
3,7/12/2013,84.86
3,7/19/2013,81.11
3,7/26/2013,85.53
4,2/5/2010,43.76
4,2/12/2010,28.84
4,2/19/2010,36.45
4,2/26/2010,41.36
4,3/5/2010,43.49
4,3/12/2010,49.63
4,3/19/2010,55.19
4,3/26/2010,39.91
4,4/2/2010,48.77
4,4/9/2010,54.16
4,4/16/2010,56.23
4,4/23/2010,56.87
4,4/30/2010,53.04
4,5/7/2010,56.77
4,5/14/2010,62.35
4,5/21/2010,67.4
4,5/28/2010,67.73
4,6/4/2010,70.83
4,6/11/2010,78.45
4,6/18/2010,81.53
4,6/25/2010,81.1
4,7/2/2010,73.66
4,7/9/2010,80.35
4,7/16/2010,78.53
4,7/23/2010,79.78
4,7/30/2010,80.7
4,8/6/2010,76.53
4,8/13/2010,78.08
4,8/20/2010,78.83
4,8/27/2010,74.44
4,9/3/2010,76.8
4,9/10/2010,73.54
4,9/17/2010,64.91
4,9/24/2010,60.96
4,10/1/2010,63.96
4,10/8/2010,67.73
4,10/15/2010,62.03
4,10/22/2010,64.17
4,10/29/2010,56.94
4,11/5/2010,51.6
4,11/12/2010,52.65
4,11/19/2010,48.05
4,11/26/2010,48.08
4,12/3/2010,46.4
4,12/10/2010,42.4
4,12/17/2010,46.57
4,12/24/2010,43.21
4,12/31/2010,38.09
4,1/7/2011,39.34
4,1/14/2011,31.6
4,1/21/2011,38.34
4,1/28/2011,40.6
4,2/4/2011,34.61
4,2/11/2011,33.29
4,2/18/2011,48.17
4,2/25/2011,49
4,3/4/2011,46.56
4,3/11/2011,50.93
4,3/18/2011,51.86
4,3/25/2011,59.1
4,4/1/2011,56.99
4,4/8/2011,62.61
4,4/15/2011,62.34
4,4/22/2011,68.8
4,4/29/2011,64.22
4,5/6/2011,63.41
4,5/13/2011,70.65
4,5/20/2011,70.49
4,5/27/2011,73.65
4,6/3/2011,78.26
4,6/10/2011,80.05
4,6/17/2011,83.51
4,6/24/2011,81.85
4,7/1/2011,84.54
4,7/8/2011,84.59
4,7/15/2011,83.27
4,7/22/2011,82.84
4,7/29/2011,84.36
4,8/5/2011,86.09
4,8/12/2011,82.98
4,8/19/2011,82.77
4,8/26/2011,81.47
4,9/2/2011,77.99
4,9/9/2011,73.34
4,9/16/2011,72.76
4,9/23/2011,69.23
4,9/30/2011,72.15
4,10/7/2011,65.79
4,10/14/2011,63.75
4,10/21/2011,64.79
4,10/28/2011,55.31
4,11/4/2011,49.86
4,11/11/2011,47.12
4,11/18/2011,50.44
4,11/25/2011,47.96
4,12/2/2011,38.71
4,12/9/2011,31.64
4,12/16/2011,36.44
4,12/23/2011,35.92
4,12/30/2011,36.89
4,1/6/2012,38.64
4,1/13/2012,34.41
4,1/20/2012,42.09
4,1/27/2012,40.31
4,2/3/2012,41.81
4,2/10/2012,33
4,2/17/2012,34.19
4,2/24/2012,41.31
4,3/2/2012,50.38
4,3/9/2012,53.63
4,3/16/2012,59.81
4,3/23/2012,59.07
4,3/30/2012,72.63
4,4/6/2012,67.69
4,4/13/2012,68.69
4,4/20/2012,68.6
4,4/27/2012,76.47
4,5/4/2012,80.14
4,5/11/2012,67.64
4,5/18/2012,68.43
4,5/25/2012,77.47
4,6/1/2012,77.41
4,6/8/2012,78.11
4,6/15/2012,80.94
4,6/22/2012,81.63
4,6/29/2012,84.23
4,7/6/2012,80.37
4,7/13/2012,76.86
4,7/20/2012,79.14
4,7/27/2012,81.06
4,8/3/2012,83.86
4,8/10/2012,83.21
4,8/17/2012,81.41
4,8/24/2012,75.76
4,8/31/2012,76.47
4,9/7/2012,82.09
4,9/14/2012,68.2
4,9/21/2012,68.97
4,9/28/2012,71.74
4,10/5/2012,63.07
4,10/12/2012,57.11
4,10/19/2012,64.46
4,10/26/2012,63.64
4,11/2/2012,53.31
4,11/9/2012,59.47
4,11/16/2012,49.86
4,11/23/2012,55.09
4,11/30/2012,50.91
4,12/7/2012,53.67
4,12/14/2012,42.57
4,12/21/2012,44.8
4,12/28/2012,37.93
4,1/4/2013,33.11
4,1/11/2013,38.92
4,1/18/2013,34.06
4,1/25/2013,47.49
4,2/1/2013,49.07
4,2/8/2013,49.86
4,2/15/2013,44.7
4,2/22/2013,44.68
4,3/1/2013,42.56
4,3/8/2013,53.21
4,3/15/2013,53.39
4,3/22/2013,58.55
4,3/29/2013,50.36
4,4/5/2013,57.7
4,4/12/2013,60.06
4,4/19/2013,63.28
4,4/26/2013,58.15
4,5/3/2013,64.18
4,5/10/2013,64.01
4,5/17/2013,70.5
4,5/24/2013,76.73
4,5/31/2013,79.17
4,6/7/2013,78.11
4,6/14/2013,79.24
4,6/21/2013,79.1
4,6/28/2013,86.29
4,7/5/2013,76.96
4,7/12/2013,82.3
4,7/19/2013,73.29
4,7/26/2013,78.96
5,2/5/2010,39.7
5,2/12/2010,39.81
5,2/19/2010,41.14
5,2/26/2010,46.7
5,3/5/2010,48.89
5,3/12/2010,58.5
5,3/19/2010,55.46
5,3/26/2010,52.47
5,4/2/2010,63.18
5,4/9/2010,65.19
5,4/16/2010,65.3
5,4/23/2010,65.13
5,4/30/2010,67.53
5,5/7/2010,71.53
5,5/14/2010,74.79
5,5/21/2010,75.2
5,5/28/2010,79.81
5,6/4/2010,79.54
5,6/11/2010,80.7
5,6/18/2010,83.91
5,6/25/2010,83.72
5,7/2/2010,81.25
5,7/9/2010,81.14
5,7/16/2010,83.98
5,7/23/2010,83.66
5,7/30/2010,82.46
5,8/6/2010,86.1
5,8/13/2010,87.41
5,8/20/2010,87.71
5,8/27/2010,87.05
5,9/3/2010,84.06
5,9/10/2010,79.86
5,9/17/2010,82.28
5,9/24/2010,78.53
5,10/1/2010,71.1
5,10/8/2010,64.99
5,10/15/2010,68.11
5,10/22/2010,70.96
5,10/29/2010,70.58
5,11/5/2010,58.88
5,11/12/2010,62.37
5,11/19/2010,52.52
5,11/26/2010,66.15
5,12/3/2010,51.31
5,12/10/2010,48.27
5,12/17/2010,51.61
5,12/24/2010,55.01
5,12/31/2010,49.79
5,1/7/2011,48.3
5,1/14/2011,37.74
5,1/21/2011,45.41
5,1/28/2011,44.5
5,2/4/2011,41.67
5,2/11/2011,38.25
5,2/18/2011,58.83
5,2/25/2011,63.35
5,3/4/2011,60.35
5,3/11/2011,55.74
5,3/18/2011,64.31
5,3/25/2011,70.71
5,4/1/2011,61.5
5,4/8/2011,69.64
5,4/15/2011,72.02
5,4/22/2011,74.34
5,4/29/2011,74.75
5,5/6/2011,66.27
5,5/13/2011,77.38
5,5/20/2011,71.37
5,5/27/2011,80.14
5,6/3/2011,83.81
5,6/10/2011,83.61
5,6/17/2011,86.84
5,6/24/2011,84.76
5,7/1/2011,85.81
5,7/8/2011,86.64
5,7/15/2011,88.64
5,7/22/2011,86.97
5,7/29/2011,89.42
5,8/5/2011,91.07
5,8/12/2011,90.16
5,8/19/2011,89.35
5,8/26/2011,89.18
5,9/2/2011,90.38
5,9/9/2011,79.04
5,9/16/2011,83.55
5,9/23/2011,78.01
5,9/30/2011,81.16
5,10/7/2011,71.64
5,10/14/2011,72.36
5,10/21/2011,66.9
5,10/28/2011,69.27
5,11/4/2011,56.71
5,11/11/2011,60.71
5,11/18/2011,64.33
5,11/25/2011,61.93
5,12/2/2011,51.14
5,12/9/2011,44.12
5,12/16/2011,54.42
5,12/23/2011,50.33
5,12/30/2011,45.62
5,1/6/2012,50.21
5,1/13/2012,48.86
5,1/20/2012,54.65
5,1/27/2012,54.63
5,2/3/2012,57.35
5,2/10/2012,48.57
5,2/17/2012,48.25
5,2/24/2012,57.75
5,3/2/2012,60.66
5,3/9/2012,57.69
5,3/16/2012,63.55
5,3/23/2012,64.44
5,3/30/2012,67.76
5,4/6/2012,70.4
5,4/13/2012,70.56
5,4/20/2012,67.33
5,4/27/2012,68.96
5,5/4/2012,77.1
5,5/11/2012,73.45
5,5/18/2012,70.45
5,5/25/2012,78.23
5,6/1/2012,79.72
5,6/8/2012,81.02
5,6/15/2012,81.64
5,6/22/2012,80.57
5,6/29/2012,87.08
5,7/6/2012,82.35
5,7/13/2012,80.78
5,7/20/2012,81.05
5,7/27/2012,85.06
5,8/3/2012,86.91
5,8/10/2012,86.96
5,8/17/2012,87.52
5,8/24/2012,79.45
5,8/31/2012,84.25
5,9/7/2012,86.3
5,9/14/2012,76.65
5,9/21/2012,71.09
5,9/28/2012,78.33
5,10/5/2012,71.17
5,10/12/2012,66.24
5,10/19/2012,69.17
5,10/26/2012,71.7
5,11/2/2012,57.83
5,11/9/2012,64.61
5,11/16/2012,56.89
5,11/23/2012,59.07
5,11/30/2012,56.2
5,12/7/2012,66.13
5,12/14/2012,52.44
5,12/21/2012,58.63
5,12/28/2012,47.47
5,1/4/2013,41.77
5,1/11/2013,49.5
5,1/18/2013,45.08
5,1/25/2013,57.05
5,2/1/2013,58.99
5,2/8/2013,59.05
5,2/15/2013,53.09
5,2/22/2013,54.1
5,3/1/2013,49.47
5,3/8/2013,53.16
5,3/15/2013,58.01
5,3/22/2013,65.96
5,3/29/2013,53.25
5,4/5/2013,61.88
5,4/12/2013,62.36
5,4/19/2013,67.43
5,4/26/2013,60.44
5,5/3/2013,67.55
5,5/10/2013,65.52
5,5/17/2013,71.38
5,5/24/2013,77.84
5,5/31/2013,78.26
5,6/7/2013,78.4
5,6/14/2013,80.76
5,6/21/2013,83.85
5,6/28/2013,86.09
5,7/5/2013,82.06
5,7/12/2013,85.75
5,7/19/2013,79.73
5,7/26/2013,84.16
6,2/5/2010,40.43
6,2/12/2010,40.57
6,2/19/2010,43.58
6,2/26/2010,47.1
6,3/5/2010,49.63
6,3/12/2010,58.82
6,3/19/2010,56.55
6,3/26/2010,53.74
6,4/2/2010,64.94
6,4/9/2010,66.15
6,4/16/2010,65.68
6,4/23/2010,64.11
6,4/30/2010,68.91
6,5/7/2010,73.68
6,5/14/2010,74.95
6,5/21/2010,74.8
6,5/28/2010,78.89
6,6/4/2010,79.44
6,6/11/2010,81.81
6,6/18/2010,83.89
6,6/25/2010,84.2
6,7/2/2010,80.34
6,7/9/2010,80.93
6,7/16/2010,83.75
6,7/23/2010,83.9
6,7/30/2010,81.37
6,8/6/2010,86.61
6,8/13/2010,86.83
6,8/20/2010,87.36
6,8/27/2010,85.71
6,9/3/2010,82.15
6,9/10/2010,78.78
6,9/17/2010,81.78
6,9/24/2010,76.49
6,10/1/2010,70.69
6,10/8/2010,65.21
6,10/15/2010,68.93
6,10/22/2010,70.97
6,10/29/2010,70.39
6,11/5/2010,59.9
6,11/12/2010,62.11
6,11/19/2010,52.99
6,11/26/2010,65.79
6,12/3/2010,52.3
6,12/10/2010,48.46
6,12/17/2010,52.24
6,12/24/2010,55.07
6,12/31/2010,49.14
6,1/7/2011,47.78
6,1/14/2011,38.37
6,1/21/2011,46.2
6,1/28/2011,44.98
6,2/4/2011,40.59
6,2/11/2011,39.38
6,2/18/2011,59.61
6,2/25/2011,62.86
6,3/4/2011,60.45
6,3/11/2011,57.71
6,3/18/2011,65.07
6,3/25/2011,70.83
6,4/1/2011,62.25
6,4/8/2011,70.35
6,4/15/2011,73.17
6,4/22/2011,74.24
6,4/29/2011,75.27
6,5/6/2011,65.42
6,5/13/2011,76.95
6,5/20/2011,72.01
6,5/27/2011,80.83
6,6/3/2011,84.01
6,6/10/2011,84.49
6,6/17/2011,87.08
6,6/24/2011,85.51
6,7/1/2011,87
6,7/8/2011,88.36
6,7/15/2011,88.93
6,7/22/2011,88.06
6,7/29/2011,90.22
6,8/5/2011,91.46
6,8/12/2011,90.49
6,8/19/2011,89.26
6,8/26/2011,90.07
6,9/2/2011,91.22
6,9/9/2011,80.21
6,9/16/2011,84.94
6,9/23/2011,78.49
6,9/30/2011,82.51
6,10/7/2011,74.1
6,10/14/2011,71.24
6,10/21/2011,68.53
6,10/28/2011,69.51
6,11/4/2011,58.54
6,11/11/2011,61.33
6,11/18/2011,63.89
6,11/25/2011,62.78
6,12/2/2011,51.18
6,12/9/2011,43.64
6,12/16/2011,53.27
6,12/23/2011,49.45
6,12/30/2011,46.8
6,1/6/2012,50.82
6,1/13/2012,48.33
6,1/20/2012,55.37
6,1/27/2012,53.95
6,2/3/2012,57.45
6,2/10/2012,48.58
6,2/17/2012,49.03
6,2/24/2012,59.17
6,3/2/2012,60.32
6,3/9/2012,57.89
6,3/16/2012,62.8
6,3/23/2012,63.71
6,3/30/2012,67.91
6,4/6/2012,71.6
6,4/13/2012,71.29
6,4/20/2012,68.64
6,4/27/2012,71.5
6,5/4/2012,77.66
6,5/11/2012,72.66
6,5/18/2012,70.5
6,5/25/2012,78.47
6,6/1/2012,80.39
6,6/8/2012,80.5
6,6/15/2012,82.1
6,6/22/2012,81.2
6,6/29/2012,87.35
6,7/6/2012,82.95
6,7/13/2012,80.27
6,7/20/2012,81.57
6,7/27/2012,85.78
6,8/3/2012,87.55
6,8/10/2012,87.04
6,8/17/2012,87.53
6,8/24/2012,79.03
6,8/31/2012,83.58
6,9/7/2012,86.33
6,9/14/2012,76.41
6,9/21/2012,70.81
6,9/28/2012,77.82
6,10/5/2012,70.84
6,10/12/2012,65.43
6,10/19/2012,69.68
6,10/26/2012,72.34
6,11/2/2012,58.38
6,11/9/2012,66.68
6,11/16/2012,56.16
6,11/23/2012,60.28
6,11/30/2012,56.18
6,12/7/2012,64.25
6,12/14/2012,51.31
6,12/21/2012,58.51
6,12/28/2012,46.57
6,1/4/2013,40.46
6,1/11/2013,48.26
6,1/18/2013,44.94
6,1/25/2013,57.35
6,2/1/2013,58.57
6,2/8/2013,60.55
6,2/15/2013,53.36
6,2/22/2013,54.57
6,3/1/2013,50.08
6,3/8/2013,55.31
6,3/15/2013,59.18
6,3/22/2013,65.87
6,3/29/2013,54.23
6,4/5/2013,61.4
